Angle,AutoHitType,AutoPitchType,AwayTeam,AwayTeamForeignID,Balls,BasePositionX,BasePositionY,BasePositionZ,Batter,BatterId,BatterSide,BatterTeam,Bearing,CatchPositionX,CatchPositionY,CatchPositionZ,Catcher,CatcherId,CatcherTeam,CatcherThrowCatchConfidence,CatcherThrowLocationConfidence,CatcherThrowReleaseConfidence,CatcherThrows,ContactPositionX,ContactPositionY,ContactPositionZ,Date,Direction,Distance,EffectiveVelo,ExchangeTime,ExitSpeed,Extension,GameForeignID,GameID,GameUID,HangTime,HitLandingConfidence,HitLaunchConfidence,HitSpinAxis,HitSpinRate,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,HomeTeam,HomeTeamForeignID,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,KorBB,LastTrackedDistance,League,Level,LocalDateTime,MaxHeight,MeasuredDuration,Notes,Outs,OutsOnPlay,PAofInning,PitchCall,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchLocationConfidence,PitchMovementConfidence,PitchNo,PitchReleaseConfidence,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,PitchUID,Pitcher,PitcherId,PitcherSet,PitcherTeam,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PlayID,PlayResult,PopTime,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpeedDrop,SpinAxis,SpinRate,Stadium,Strikes,System,TaggedHitType,TaggedPitchType,ThrowPositionX,ThrowPositionY,ThrowPositionZ,ThrowSpeed,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Tilt,Time,TimeToBase,Top/Bottom,UTCDate,UTCDateTime,UTCTime,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0
31.171819,,Four-Seam,NEB,4865,0,,,,"Carey, Dylan",822406,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,2.84886,3.41876,0.0136,2025-09-03,-55.328849,,88.39176,,80.95754,6.67216,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,Undefined,High,115.592553,2917.848995,2.84886,57.79336,-15.61805,3.6943,-0.88232,0.19245,-0.04304,0.00818,-0.0009,3.41876,61.45929,-24.9886,2.92133,-0.62233,0.12652,-0.02524,0.00471,-0.00052,0.0136,-83.55408,6.48424,-0.30694,-0.08169,0.05107,-0.01456,0.00346,-0.00044,NEB,4865,-0.391875,9.97394,-2.207364,15.98867,3,Undefined,92.76769,Team,TeamExclusive,2025-09-03T17:25:23.6534784-05:00,42.67596,,,0,0,4,FoulBallNotFieldable,,,,High,High,75,High,53.82984,-128.75917,13.76466,6.13004,-2.8235,-8.52974,-1.32657,4.85803,-4.89727,e2a830f0-8914-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,1,3.37325,0.14073,1bd6fd38-d913-4ba0-931a-918e9987b076,Undefined,,,,,6.13138,1.33011,88.03813,0,7.77814,213.900469,2106.028161,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,1:15,17:25:23.65,,Bottom,2025-09-03,2025-09-03T22:25:23.6534784Z,22:25:23.65,-4.942358,-19.11418,-1.2725,80.25999,0.426425,-9.79453,27.52932,-17.05948,-5.93677,9.16142,4.56577,-127.93771,-3.33255,-1.18597,50.0,6.03819
22.716061,LineDrive,Changeup,NEB,4865,0,,,,"Carey, Dylan",822406,Right,NEB,-28.69625,,,,"Peterson, Elliott",830325,NEB,,,,Right,2.45868,2.15654,0.46556,2025-09-03,-23.334228,226.08156,86.53687,,74.25735,7.05733,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,2.839882,High,High,129.893348,1932.036261,2.45843,92.25773,-13.40886,3.2429,-1.01485,0.42087,-0.15597,0.0336,-0.00289,2.15674,42.04818,-17.10534,0.69301,0.19481,-0.20611,0.08964,-0.01796,0.00134,0.46558,-39.79306,-0.21302,0.62244,-0.19457,0.01611,0.00877,-0.00337,0.00037,NEB,4865,-1.049792,11.06788,-3.078527,12.65796,3,Undefined,223.95705,Team,TeamExclusive,2025-09-03T17:25:51.8914048-05:00,29.57815,,,0,0,4,InPlay,,,,High,High,76,High,53.44582,-124.55904,11.76042,5.93371,-4.84381,-10.06257,-1.3813,6.5935,-5.28907,f3838780-8914-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,2,1.91484,-0.49122,f2981c00-086c-435a-a387-cd0d4a7011dc,Single,,99.21023,29.34632,-47.51111,5.93379,1.38504,85.24357,0,6.61175,223.748862,1796.353957,UNebraska,1,v3,LineDrive,Fastball,,,,,,,,,,,,,,1:30,17:25:51.89,,Bottom,2025-09-03,2025-09-03T22:25:51.8914048Z,22:25:51.89,-6.777385,-23.96584,-2.221865,78.63182,0.435565,-10.57814,23.52083,-20.12513,-6.76815,7.70918,6.3001,-123.90665,-5.40201,-1.20248,50.0,5.79161
,,Four-Seam,NEB,4865,0,,,,"Buettenback, Max",822404,Left,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,88.26514,,,6.86633,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,0.355461,11.00784,-1.657689,14.97442,3,Undefined,,Team,TeamExclusive,2025-09-03T17:26:33.9456000-05:00,,,,0,0,5,StrikeCalled,,,,High,High,77,High,53.63533,-127.67775,12.65788,6.03476,-6.2874,-8.67157,-1.4138,3.57365,-5.14568,0c91ddd0-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,1,1.76787,0.82394,8f939217-d88c-49e9-8256-234a50a5c71d,Undefined,,,,,6.03596,1.41805,87.35251,0,7.00446,218.401348,2142.969734,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,1:15,17:26:33.94,,Bottom,2025-09-03,2025-09-03T22:26:33.9456000Z,22:26:33.94,-6.68529,-20.22922,-2.829497,80.34806,0.427037,-10.29135,25.31575,-17.34313,-6.28827,9.06205,3.2798,-126.9549,-6.78261,-1.31595,50.0,5.84816
,,Four-Seam,NEB,4865,0,,,,"Buettenback, Max",822404,Left,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,89.02648,,,6.6422,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-0.065454,12.05823,-2.259456,16.34418,3,Undefined,,Team,TeamExclusive,2025-09-03T17:26:56.0736768-05:00,,,,0,0,5,FoulBallNotFieldable,,,,High,High,78,High,53.85959,-129.05923,12.27771,6.06428,-5.08111,-8.09699,-1.38244,4.95646,-5.80246,19c254d0-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,2,2.46111,0.32273,a301c3b8-d3e7-4fc8-8c08-1be873b32439,Undefined,,,,,6.06608,1.38733,88.28376,0,6.86861,218.202104,2144.64838,UNebraska,1,v3,Undefined,Fastball,,,,,,,,,,,,,,1:15,17:26:56.07,,Bottom,2025-09-03,2025-09-03T22:26:56.0736768Z,22:26:56.07,-5.753351,-18.25989,-2.27281,81.41515,0.423385,-11.60491,24.55543,-16.19397,-6.90426,9.50725,4.60842,-128.32279,-5.56678,-1.23901,50.0,5.9046
,,Sinker,NEB,4865,0,,,,"Buettenback, Max",822404,Left,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,86.2643,,,6.80275,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-0.945843,12.33654,-3.196487,12.88572,3,Undefined,,Team,TeamExclusive,2025-09-03T17:27:18.8905472-05:00,,,,0,0,5,BallCalled,,,,High,High,79,High,53.6992,-125.1056,12.50262,5.5208,-6.63735,-9.79131,-1.73736,6.85584,-5.82345,275d7480-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,3,0.75121,-0.15009,539b6e3c-d698-44e8-ace4-ddc265041291,Undefined,,,,,5.52101,1.74211,85.70326,0,7.02748,226.499036,1948.021796,UNebraska,2,v3,Undefined,Fastball,,,,,,,,,,,,,,1:30,17:27:18.89,,Bottom,2025-09-03,2025-09-03T22:27:18.8905472Z,22:27:18.89,-7.567963,-23.96989,-3.030165,78.67578,0.436941,-11.64691,25.00523,-19.58261,-7.43878,8.04205,6.51044,-124.36403,-7.2181,-1.53916,50.0,5.31534
33.379004,FlyBall,Four-Seam,NEB,4865,1,,,,"Buettenback, Max",822404,Left,NEB,24.356577,,,,"Peterson, Elliott",830325,NEB,,,,Right,2.25147,3.11262,-0.29571,2025-09-03,17.606293,422.43897,87.70478,,104.48658,6.70288,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,5.831439,Medium,High,192.298076,3420.18469,2.25895,121.84366,-27.60471,6.97056,-1.20553,0.12223,-0.00417,-0.00027,2e-05,3.10834,84.373,-16.24505,-0.29433,0.40533,-0.14035,0.02941,-0.00333,0.00015,-0.29459,38.68752,-4.61426,1.27084,-0.24584,0.03103,-0.00216,6e-05,0.0,NEB,4865,-0.616691,7.62764,-2.006188,16.09623,3,Undefined,384.30936,Team,TeamExclusive,2025-09-03T17:27:46.1967360-05:00,116.53192,,,0,0,5,InPlay,,,,High,High,80,High,53.80012,-126.93784,11.78425,6.03721,-3.67474,-8.54606,-1.49709,4.37422,-3.71148,379fbf60-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,4,2.8783,0.3001,00b58257-112f-45ac-85a8-822d332f1de2,HomeRun,,104.11137,72.3144,35.50804,6.03844,1.49962,86.77277,0,6.64085,206.850543,2121.701225,UNebraska,2,v3,LineDrive,Fastball,,,,,,,,,,,,,,1:00,17:27:46.19,,Bottom,2025-09-03,2025-09-03T22:27:46.1967360Z,22:27:46.19,-5.397239,-19.55867,-1.672048,80.13191,0.429765,-7.42296,23.5685,-17.09213,-4.56024,9.26548,4.15138,-126.2303,-4.18785,-1.36912,50.0,5.9192
,,Four-Seam,NEB,4865,0,,,,"Newhan, Nico",814552,Right,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,87.16088,,,6.54516,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,0.713431,9.18981,-0.955984,17.96733,3,Undefined,,Team,TeamExclusive,2025-09-03T17:28:39.5260928-05:00,,,,0,0,6,BallCalled,,,,High,High,81,High,53.95204,-127.71363,14.41537,6.11658,0.71519,-8.31339,-1.19088,2.00301,-4.06702,57730680-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,1,4.87078,1.08454,68add7d9-7992-4ef7-8f5a-917b02c76cb3,Undefined,,,,,6.11916,1.19556,87.32569,0,8.48,208.803019,2261.419908,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,1:00,17:28:39.52,,Bottom,2025-09-03,2025-09-03T22:28:39.5260928Z,22:28:39.52,-3.230144,-18.13395,0.286475,78.84569,0.432447,-8.13405,28.83073,-16.62677,-5.05508,9.66221,1.75042,-126.81834,0.19887,-1.1326,50.0,6.13077
55.203779,FlyBall,Four-Seam,NEB,4865,1,,,,"Newhan, Nico",814552,Right,NEB,14.719205,,,,"Peterson, Elliott",830325,NEB,,,,Right,2.19457,2.85515,0.3316,2025-09-03,-4.116489,254.82229,87.52175,,95.41093,6.79082,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,6.256946,Low,High,208.797011,4447.716533,2.19703,79.56084,-19.79317,4.5604,-0.39491,-0.12312,0.04484,-0.00552,0.00024,2.83253,115.25324,-28.35085,4.34359,-1.26296,0.28751,-0.03755,0.00221,-3e-05,0.32796,-5.62401,10.83025,-2.92835,0.10817,0.18236,-0.0559,0.00678,-0.0003,NEB,4865,-1.141972,8.0104,-2.603077,14.67977,3,Undefined,110.92693,Team,TeamExclusive,2025-09-03T17:29:15.9578112-05:00,155.5726,,,0,0,6,InPlay,,,,High,High,82,High,53.70906,-127.77373,14.79936,6.06229,-4.7207,-8.9889,-1.43469,5.71349,-4.08331,6d264af0-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,2,2.36104,-0.27213,29694b29-5db3-45e3-bfff-11a4f8710c6e,Out,,109.19148,140.43415,13.31043,6.06336,1.43817,87.46953,0,8.3754,210.882131,2196.828375,UNebraska,0,v3,FlyBall,Fastball,,,,,,,,,,,,,,1:00,17:29:15.95,,Bottom,2025-09-03,2025-09-03T22:29:15.9578112Z,22:29:15.95,-6.181909,-21.12438,-2.124216,79.09413,0.430664,-8.16661,29.59873,-17.97781,-5.08331,8.83642,5.47562,-126.91162,-5.24433,-1.27174,50.0,5.91716
,,Four-Seam,NEB,4865,0,,,,"Freeman, Preston",1000220671,Left,NEB,,,,,"Peterson, Elliott",830325,NEB,,,,Right,,,,2025-09-03,,,87.97872,,,6.66414,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,0.651713,6.37492,-0.509495,17.19497,3,Undefined,,Team,TeamExclusive,2025-09-03T17:29:47.2766976-05:00,,,,0,0,7,BallCalled,,,,High,High,83,High,53.83451,-128.25416,13.79399,6.10702,-2.8901,-8.09175,-1.53457,1.05798,-2.84298,7fd06e10-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,1,3.38311,1.60253,5e71cfb3-5ad7-4e5b-b236-066f5f5d7327,Undefined,,,,,6.10934,1.53751,87.68284,0,7.87759,201.699108,2252.258325,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,12:45,17:29:47.27,,Bottom,2025-09-03,2025-09-03T22:29:47.2766976Z,22:29:47.27,-4.833598,-18.23824,-1.318088,79.80525,0.428427,-5.68596,27.58798,-16.1835,-3.47811,9.78146,0.88743,-127.42667,-3.37552,-1.5054,50.0,6.01305
31.280813,FlyBall,Four-Seam,NEB,4865,1,,,,"Freeman, Preston",1000220671,Left,NEB,23.301075,,,,"Peterson, Elliott",830325,NEB,,,,Right,1.51346,3.20406,0.35392,2025-09-03,17.983548,316.89288,88.32751,,83.52738,6.76344,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,4.53058,Medium,High,194.155094,3145.150778,1.51522,99.54319,-18.33156,4.44954,-0.74234,0.06789,-0.00168,0.00013,-4e-05,3.20362,63.61453,-15.84909,0.08233,0.30568,-0.16358,0.0492,-0.00753,0.00045,0.35416,32.31913,-2.93795,0.89588,-0.18923,0.02563,-0.00161,-1e-05,0.0,NEB,4865,-1.361685,5.96548,-2.449025,14.57249,3,Undefined,310.22891,Team,TeamExclusive,2025-09-03T17:29:59.4586112-05:00,70.01619,,,0,0,7,InPlay,,,,High,High,84,High,53.73746,-128.61781,14.13497,6.03622,-2.89804,-9.14725,-1.39668,5.43394,-3.20148,870bee70-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965,Undefined,NEB,Right,2,3.13283,-0.34183,90dc37db-2df3-4a11-8ddb-386207e4e283,Out,,103.52638,58.20444,37.1789,6.03718,1.39915,87.97817,0,7.97536,204.009244,2234.633532,UNebraska,0,v3,FlyBall,Fastball,,,,,,,,,,,,,,12:45,17:29:59.45,,Bottom,2025-09-03,2025-09-03T22:29:59.4586112Z,22:29:59.45,-5.247517,-20.58143,-1.30069,80.00281,0.426735,-6.40296,28.26995,-18.29449,-3.9026,8.45953,5.24728,-127.79369,-3.43136,-1.24099,50.0,5.94397
,,Changeup,NEB,4865,0,,,,"Grego, Drew",10290580,Right,NEB,,,,,"Worthley, Jeter",10081852,NEB,,,,Right,,,,2025-09-04,,,86.01308,,,5.93635,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-1.342179,16.70521,-4.334644,0.68756,1,Undefined,,Team,TeamExclusive,2025-09-04T16:45:24.2597376-05:00,,,,0,0,1,StrikeSwinging,,,,High,High,1,High,54.56799,-126.3398,11.53628,4.39428,0.04864,-15.54907,-2.66187,9.40228,-7.77219,76f47980-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,1,1.43174,0.03115,6e3ddc60-55bf-4b9e-9e49-07f1bc1cbb7e,Undefined,,,,,4.38991,2.66821,86.48704,0,6.61422,271.300169,2126.786638,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,3:00,16:45:24.25,,Top,2025-09-04,2025-09-04T21:45:24.2597376Z,21:45:24.25,-6.60968,-36.38364,0.079313,79.87282,0.438218,-15.54438,23.07256,-31.09813,-9.65158,0.66803,8.83839,-125.50281,-1.07949,-2.33102,50.0,4.37558
,,Cutter,NEB,4865,0,,,,"Grego, Drew",10290580,Right,NEB,,,,,"Worthley, Jeter",10081852,NEB,,,,Right,,,,2025-09-04,,,90.3699,,,6.73873,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-3.200747,4.48229,-4.015499,7.33217,1,Undefined,,Team,TeamExclusive,2025-09-04T16:45:40.2723840-05:00,,,,0,0,1,BallCalled,,,,High,High,2,High,53.76398,-130.53857,12.08121,5.19535,-3.4475,-12.15847,-1.90564,9.1167,-2.89506,807de180-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,2,1.64286,-1.39401,77df3037-5619-4b50-98fc-ba05d9fd9fc7,Undefined,,,,,5.19393,1.90764,89.38976,0,6.51571,215.003827,2178.724908,UNebraska,1,v3,Undefined,Fastball,,,,,,,,,,,,,,1:15,16:45:40.27,,Top,2025-09-04,2025-09-04T21:45:40.2723840Z,21:45:40.27,-6.404516,-26.25072,-1.488219,82.87405,0.417091,-5.79012,24.16242,-24.31694,-3.35201,4.54862,8.9493,-129.84,-4.15054,-1.64448,50.0,5.08552
55.707468,Popup,Sinker,NEB,4865,1,,,,"Grego, Drew",10290580,Right,NEB,-178.136295,,,,"Worthley, Jeter",10081852,NEB,,,,Right,1.348,3.2647,-0.82281,2025-09-04,174.122142,180.31512,88.53749,,69.98487,6.12094,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,3.899443,Low,High,340.692685,4761.212601,1.34661,-57.49214,-0.0992,2.12171,-0.89421,0.23685,-0.02364,-0.00187,0.00038,3.26609,84.75897,-31.05051,3.89314,-0.27549,-0.2265,0.09767,-0.01602,0.00096,-0.82242,5.90999,-5.22458,1.66817,-0.27067,-0.0273,0.02587,-0.00506,0.00034,NEB,4865,0.089192,12.54107,-2.170304,8.27178,1,Undefined,68.47277,Team,TeamExclusive,2025-09-04T16:45:55.8375424-05:00,73.20459,,,0,0,1,FoulBallNotFieldable,,,,High,High,3,High,54.38137,-130.20416,13.64716,5.48345,0.23056,-12.2305,-1.72192,4.79862,-6.01252,89c5fac0-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,3,3.36636,0.76409,d6dbf7fc-9579-448c-8333-82b6dbc08033,Undefined,,-109.99586,71.65895,-0.93904,5.48211,1.72648,88.99029,0,7.69851,240.252186,2120.866929,UNebraska,1,v3,Undefined,Fastball,,,,,,,,,,,,,,2:00,16:45:55.83,,Top,2025-09-04,2025-09-04T21:45:55.8375424Z,21:45:55.83,-4.879218,-26.7156,0.119497,81.29178,0.425723,-12.02503,27.29432,-24.46099,-7.11473,4.56351,4.39254,-129.28245,-0.59547,-1.56673,50.0,5.47728
,,Four-Seam,NEB,4865,1,,,,"Grego, Drew",10290580,Right,NEB,,,,,"Worthley, Jeter",10081852,NEB,,,,Right,,,,2025-09-04,,,89.63458,,,6.27168,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-1.04538,3.27666,-1.637327,9.78516,1,Undefined,,Team,TeamExclusive,2025-09-04T16:46:16.6618624-05:00,,,,0,0,1,BallCalled,,,,High,High,4,High,54.22724,-131.60028,14.31294,5.549,1.19559,-11.55223,-1.75944,3.71842,-1.86019,962cb920-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,4,4.00917,0.52439,492290af-9113-4693-a8a8-95d0fa6132e7,Undefined,,,,,5.54799,1.7612,89.97662,0,8.11149,200.685763,2094.819622,UNebraska,2,v3,Undefined,Fastball,,,,,,,,,,,,,,12:45,16:46:16.66,,Top,2025-09-04,2025-09-04T21:46:16.6618624Z,21:46:16.66,-4.059898,-24.351,0.531748,81.86513,0.420512,-3.72039,28.62589,-23.10447,-2.16067,5.26729,3.59849,-130.67753,0.45082,-1.64151,50.0,5.57554
-30.032317,GroundBall,Changeup,NEB,4865,2,,,,"Grego, Drew",10290580,Right,NEB,-43.599464,,,,"Worthley, Jeter",10081852,NEB,,,,Right,1.73241,2.68497,-0.19239,2025-09-04,-56.733612,5.9102,86.09738,,107.3022,6.27046,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,0.034033,Estimated,Estimated,,,1.73175,74.85711,,,,,,,,2.68567,-78.89249,,,,,,,,-0.19138,-114.10487,,,,,,,,NEB,4865,-1.206246,16.1158,-4.110182,2.20717,1,Undefined,5.9102,Team,TeamExclusive,2025-09-04T16:46:31.2599552-05:00,2.68497,,,0,1,1,InPlay,,,,High,High,5,High,54.2327,-126.32267,13.00689,4.4637,2.50584,-15.17735,-2.63235,8.90227,-7.60154,9ee1ba20-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,5,2.65582,0.18569,b5ed6b9a-b737-4a55-9c29-92dde79c30a5,Out,,,,,4.45986,2.63849,86.49862,0,7.65804,266.390615,2117.832276,UNebraska,2,v3,GroundBall,Fastball,,,,,,,,,,,,,,3:00,16:46:31.25,,Top,2025-09-04,2025-09-04T21:46:31.2599552Z,21:46:31.25,-5.294411,-34.79148,1.184785,78.84058,0.437788,-15.20308,26.01377,-30.3547,-9.56603,1.14476,8.39109,-125.448,1.48521,-2.34162,50.0,4.53079
,,Sinker,NEB,4865,0,,,,"Nunez, Devin",830147,Left,NEB,,,,,"Worthley, Jeter",10081852,NEB,,,,Right,,,,2025-09-04,,,88.78922,,,6.1753,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-0.179165,15.34993,-2.945654,6.41729,1,Undefined,,Team,TeamExclusive,2025-09-04T16:47:03.9413248-05:00,,,,1,0,2,StrikeCalled,,,,High,High,6,High,54.32544,-130.62366,14.12624,5.40024,0.50115,-13.02994,-1.92508,6.52422,-7.40869,b2568040-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,1,3.2656,0.48838,a53154f6-a716-4796-aaa1-12318aadd2a8,Undefined,,,,,5.39775,1.93217,89.35336,0,8.03758,251.0282,2088.752418,UNebraska,0,v3,Undefined,Fastball,,,,,,,,,,,,,,2:15,16:47:03.94,,Top,2025-09-04,2025-09-04T21:47:03.9413248Z,21:47:03.94,-5.056603,-28.37198,0.251056,81.31578,0.424516,-14.81739,28.25247,-26.05988,-8.73977,3.60634,6.03179,-129.68474,-0.36491,-1.71644,50.0,5.40251
,,Sinker,NEB,4865,0,,,,"Nunez, Devin",830147,Left,NEB,,,,,"Worthley, Jeter",10081852,NEB,,,,Right,,,,2025-09-04,,,80.91779,,,6.15588,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-3.09385,13.71016,-5.547659,-8.35268,1,Undefined,,Team,TeamExclusive,2025-09-04T16:47:17.9378176-05:00,,,,1,0,2,BallCalled,,,,High,High,7,High,54.34744,-119.15648,11.86987,2.91573,6.77115,-19.46494,-2.96556,11.40389,-6.09203,bac131d0-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,2,1.84956,-1.02676,d5a64aa7-b718-41ee-952a-a4da5df1e5fe,Undefined,,,,,2.90511,2.97241,81.87766,0,7.60268,305.416418,1909.934803,UNebraska,1,v3,Undefined,Sinker,,,,,,,,,,,,,,4:15,16:47:17.93,,Top,2025-09-04,2025-09-04T21:47:17.9378176Z,21:47:17.93,-5.887748,-50.23955,3.369144,74.27498,0.465812,-12.18405,23.73973,-38.92989,-8.64788,-4.79508,10.95772,-118.28716,5.34558,-2.55613,50.0,3.13758
,,Four-Seam,NEB,4865,1,,,,"Nunez, Devin",830147,Left,NEB,,,,,"Worthley, Jeter",10081852,NEB,,,,Right,,,,2025-09-04,,,87.72823,,,6.16059,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865,-0.510602,6.13248,-1.616543,12.77154,1,Undefined,,Team,TeamExclusive,2025-09-04T16:47:33.2838400-05:00,,,,1,0,2,StrikeCalled,,,,High,High,8,High,54.33984,-128.76296,13.01905,5.37977,-0.99305,-10.22934,-2.01198,3.56247,-2.98775,c3d828f0-89d8-11f0-81c6-51351d1fede5,"Bender, Pryce",830146,Undefined,NEB,Right,3,3.06472,1.03187,93e13414-56a4-46fa-8e5c-d1b7ed59a2cd,Undefined,,,,,5.37994,2.01465,88.00899,0,7.43913,207.729156,2070.183677,UNebraska,1,v3,Undefined,Fastball,,,,,,,,,,,,,,1:00,16:47:33.28,,Top,2025-09-04,2025-09-04T21:47:33.2838400Z,21:47:33.28,-4.749873,-22.8643,-0.443469,80.56986,0.42965,-5.97551,26.0381,-20.45867,-3.60355,7.06496,3.36038,-127.88236,-1.68495,-1.89492,50.0,5.33448
