PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
11,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,83.8,,,2172.0,,2:15,4.416666666666667,2.5,5.416666666666667,,9.0,18.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,83.6,,,2213.0,,1:30,4.666666666666667,2.4166666666666665,5.333333333333333,,12.8,12.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,82.2,,,2231.0,,12:45,4.5,2.5833333333333335,5.166666666666667,,11.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,73.6,,,2408.0,,7:45,5.166666666666667,2.0833333333333335,5.166666666666667,,-9.5,-11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,72.0,,,2394.0,,7:45,5.083333333333333,2.0,4.833333333333333,,-11.3,-13.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,72.1,,,2525.0,,8:45,5.083333333333333,2.1666666666666665,4.916666666666667,,-2.7,-15.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,80.3,,,1867.0,,3:00,4.416666666666667,2.25,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,79.2,,,1853.0,,3:00,4.5,2.1666666666666665,5.583333333333333,,0.8,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,78.7,,,2403.0,,11:00,5.083333333333333,2.4166666666666665,4.916666666666667,,6.8,-3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,77.2,,,,,-,4.583333333333333,2.3333333333333335,5.25,,5.9,-8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,79.3,,,2412.0,,11:00,4.833333333333333,2.3333333333333335,5.166666666666667,,7.9,-5.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,2025-09-30,,,,Pryce Bender,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,78.5,,,2495.0,,10:00,4.916666666666667,2.25,5.166666666666667,,5.1,-8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,72.2,,,2664.0,,8:45,5.75,1.3333333333333333,4.333333333333333,,-3.3,-17.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,71.9,,,2698.0,,8:15,5.666666666666667,1.4166666666666667,,,-4.5,-9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,75.1,,,1475.0,,1:15,5.5,1.6666666666666665,5.583333333333333,,10.2,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,79.3,,,,,-,5.666666666666667,1.5,4.833333333333333,,1.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,80.2,,,,,-,5.5,1.6666666666666665,4.75,,2.8,-4.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,80.4,,,,,-,5.5,1.8333333333333335,4.833333333333333,,1.4,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,87.1,,,2212.0,,1:00,5.833333333333333,1.3333333333333333,5.166666666666667,,18.1,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,79.7,,,,,-,5.583333333333333,1.5,4.75,,-1.4,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,79.8,,,2660.0,,9:15,5.666666666666667,1.5833333333333335,4.833333333333333,,0.9,-5.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,81.4,,,2753.0,,11:00,5.666666666666667,1.5833333333333335,4.666666666666667,,4.8,-2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,2025-09-30,,,,Cooper Grace,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,88.5,,,2262.0,,12:30,5.75,1.25,5.25,,18.8,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2025-09-30,,,,Lynden Bruegman,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,85.1,,,2081.0,,11:00,4.833333333333333,-1.9166666666666665,5.0,,15.5,-10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2025-09-30,,,,Lynden Bruegman,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,85.4,,,2025.0,,11:15,4.916666666666667,-1.9166666666666665,5.0,,16.5,-6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2025-09-30,,,,Lynden Bruegman,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,85.8,,,2075.0,,11:15,4.833333333333333,-2.1666666666666665,5.166666666666667,,16.6,-7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2025-09-30,,,,Lynden Bruegman,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,85.6,,,2029.0,,11:00,4.833333333333333,-2.0833333333333335,5.166666666666667,,16.1,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2025-09-30,,,,Lynden Bruegman,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,86.6,,,2135.0,,11:15,5.083333333333333,-1.9166666666666665,5.0,,17.9,-7.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2025-09-30,,,,Lynden Bruegman,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,88.0,,,2146.0,,11:15,5.083333333333333,-2.0833333333333335,5.0,,19.8,-8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2025-09-30,,,,Lynden Bruegman,,,Nebraska Cornhuskers,,,,,,,,,,,,,,,,,,,,86.8,,,1966.0,,11:15,4.916666666666667,-2.0833333333333335,4.916666666666667,,21.7,-8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
