PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
54,5/31/2025,32:39.1,3,4,"Wywoda, Jaden",809064,Right,HOL_CRU,"Buettenback, Max",822404,Left,NEB,Undefined,2,Bottom,2,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.00471,2.009589,0.250817,2238.764498,91.896921,9:00,4.75168,1.582,4.06895,-51.49341,2.47331,-16.29788,2.39114,0.4647,67.79621,-7.225414,-2.578371,0.528731,,,,,,,,,,,,7.85823,1.1028,-1.59108,50,4.9221,0.23972,-108.43711,1.85674,9.22522,21.44722,-30.87944,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,de3aca00-3e3c-11f0-8e21-9f560cccee3c,71.28855,,,7.20849,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,32:39.1,2025-05-31T12:32:39.1161856-04:00,2025-05-31T16:32:39.1161856Z,,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,65628381-6d0f-4209-b5e4-86d2791e343d,56.42686,-109.70088,10.72361,4.75909,3.6763,-15.43972,-1.58919,-0.30387,4.61261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
55,5/31/2025,32:57.0,3,5,"Wywoda, Jaden",809064,Right,HOL_CRU,"Buettenback, Max",822404,Left,NEB,Undefined,2,Bottom,2,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,86.78714,0.142434,-3.550384,2235.369331,259.552915,2:45,4.93261,1.41227,5.44849,-33.2971,4.59067,18.20123,2.29146,-0.39909,79.13924,-5.977078,-0.315577,0.443017,110.05754,21.752453,46.24979,3391.593481,71.14805,35.66429,83.89247,314.34674,186.02106,61.100172,3.390663,-10.27004,2.59461,-1.11184,50,4.92218,7.03229,-125.81167,-0.88982,-16.41061,26.25345,-28.02811,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,e8ea6280-3e3c-11f0-8e21-9f560cccee3c,85.08117,43.84497,,7.6479,,,,3.51162,2.52391,0.46813,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,32:57.0,2025-05-31T12:32:56.9855488-04:00,2025-05-31T16:32:56.9855488Z,FlyBall,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,718c9f7f-66d1-4150-8c5f-5d20896e5477,55.05117,-126.86133,13.12673,4.93535,0.23079,-14.01406,-1.40612,7.68842,-8.2053,,3.51061,103.71007,-29.86263,6.83197,-1.8771,0.54604,-0.14017,0.02277,-0.00155,2.52419,59.8128,-26.53607,4.42462,-0.86433,0.08643,0.01315,-0.00433,0.00029,0.46763,108.31342,-6.24969,-1.36556,0.34176,0.06301,-0.06117,0.01339,-0.00096,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
56,5/31/2025,33:20.7,3,6,"Wywoda, Jaden",809064,Right,HOL_CRU,"Buettenback, Max",822404,Left,NEB,Undefined,2,Bottom,2,2,2,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,74.88811,0.682636,0.108681,2297.995164,91.125359,9:00,4.73905,1.46774,4.44021,-49.95015,1.49256,-11.77583,1.22767,0.59008,70.34336,-8.205699,-1.951813,0.516218,,,,,,,,,,,,5.80965,0.90669,-1.46696,50,4.76199,0.26633,-108.8989,-0.52483,7.13493,15.05002,-31.06051,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,f71231d0-3e3c-11f0-8e21-9f560cccee3c,73.01648,,,4.54476,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,33:20.7,2025-05-31T12:33:20.6509568-04:00,2025-05-31T16:33:20.6509568Z,,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,0c2dfea4-80c2-4d07-a243-45fd4ac6adfa,56.06163,-109.73343,7.52501,4.74334,1.19749,-15.53025,-1.47076,-0.12931,3.56746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
57,5/31/2025,33:42.3,3,7,"Wywoda, Jaden",809064,Right,HOL_CRU,"Buettenback, Max",822404,Left,NEB,Undefined,2,Bottom,2,3,2,Slider,Curveball,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.55183,0.736364,-0.710895,2230.692796,95.318989,9:15,4.79023,1.41873,4.64763,-49.4592,2.48921,-11.68032,1.3684,-0.23014,69.4856,-8.123448,-2.761425,0.518749,,,,,,,,,,,,5.63823,1.36658,-1.33456,50,4.81985,1.79851,-108.3237,-0.34295,6.78942,16.53759,-30.52846,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,03f2db20-3e3d-11f0-8e21-9f560cccee3c,72.66022,,,5.06623,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,33:42.2,2025-05-31T12:33:42.2555136-04:00,2025-05-31T16:33:42.2555136Z,,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,97911dea-dfaa-49a9-b032-e587e976cd79,55.85376,-109.21372,8.2688,4.79409,1.30005,-15.26423,-1.42152,1.43312,3.39471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
58,5/31/2025,34:04.9,3,8,"Wywoda, Jaden",809064,Right,HOL_CRU,"Buettenback, Max",822404,Left,NEB,Undefined,2,Bottom,2,3,2,Slider,Curveball,BallCalled,Walk,Undefined,Undefined,0,0,,75.81779,0.990746,0.610178,2241.152343,68.283755,8:15,4.76774,1.49944,4.43437,-53.33503,-1.38201,-8.06319,1.26838,1.40957,68.87534,-8.589984,-0.800862,0.518772,,,,,,,,,,,,4.09173,-0.43228,-1.55571,50,4.82091,-0.82401,-109.75779,-0.08653,4.92942,21.67514,-32.69485,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,116ae270-3e3d-11f0-8e21-9f560cccee3c,72.65699,,,6.94246,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,34:04.9,2025-05-31T12:34:04.8543744-04:00,2025-05-31T16:34:04.8543744Z,,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,1027b1fe-3ab3-47d5-ab40-c931a8dff42d,56.06194,-110.94845,10.83757,4.77634,1.70947,-16.34742,-1.50301,-1.0948,2.46471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
59,5/31/2025,34:40.5,4,1,"Wywoda, Jaden",809064,Right,HOL_CRU,"Stokes, Rhett",822403,Right,NEB,Undefined,2,Bottom,2,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,87.73242,-0.433039,-4.413339,2276.261268,265.967699,2:45,4.99657,1.46481,4.96572,-35.12939,2.25358,16.56233,1.65884,-1.33221,81.00252,-6.781336,-1.499676,0.440056,,,,,,,,,,,,-9.29457,1.55347,-1.05155,50,4.92559,9.05022,-127.11411,-2.36756,-15.37041,23.44117,-29.60507,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,267c68a0-3e3d-11f0-8e21-9f560cccee3c,85.65365,,,6.72989,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,34:40.5,2025-05-31T12:34:40.4669440-04:00,2025-05-31T16:34:40.4669440Z,,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,2d98ecef-1233-4768-a5ee-94cadc101295,55.53427,-128.13062,11.72059,5.00042,-1.08376,-14.80254,-1.45846,9.71675,-7.6852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
60,5/31/2025,35:12.9,4,2,"Wywoda, Jaden",809064,Right,HOL_CRU,"Stokes, Rhett",822403,Right,NEB,Undefined,2,Bottom,2,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.67929,-0.545728,-3.91764,2225.759643,267.888986,3:00,5.0282,1.41785,4.94884,-35.77935,1.86209,18.92548,1.5297,-0.71266,80.50668,-7.021439,-0.584799,0.441575,,,,,,,,,,,,-10.41528,1.40965,-1.05381,50,4.94553,7.82666,-127.03021,-2.64412,-17.08487,25.07355,-29.8617,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,39f6d410-3e3d-11f0-8e21-9f560cccee3c,85.35908,,,7.17261,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,35:12.9,2025-05-31T12:35:12.8916480-04:00,2025-05-31T16:35:12.8916480Z,,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,537264ce-3bbe-4123-bbaf-65f0086ed585,55.55085,-128.12117,12.53678,5.0323,-1.34484,-14.93085,-1.41052,8.57003,-8.54243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
61,5/31/2025,36:04.6,4,3,"Wywoda, Jaden",809064,Right,HOL_CRU,"Stokes, Rhett",822403,Right,NEB,Undefined,2,Bottom,2,1,1,Fastball,Sinker,InPlay,Undefined,FlyBall,Out,1,0,,87.15853,0.461428,-2.761441,2172.357719,267.686573,3:00,5.13994,1.36456,5.05488,-36.13557,2.16847,21.19974,2.56432,0.52495,79.05075,-6.131533,0.983779,0.445445,86.30222,27.156699,8.855771,3758.296256,107.76491,48.45133,22.06088,298.11152,284.87388,19.10864,4.293329,-11.4104,1.28622,-1.11963,50,5.15515,5.12959,-126.28537,-0.38676,-18.26046,27.8828,-30.11567,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,58c99b20-3e3d-11f0-8e21-9f560cccee3c,84.61754,58.63004,,8.10778,,,,1.72691,2.71639,-0.48649,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,36:04.6,2025-05-31T12:36:04.5561856-04:00,2025-05-31T16:36:04.5561856Z,LineDrive,v3,4865,471313,,"Brown, Colin",1000242461,Right,HOL_CRU,bfc108d7-fc2b-4b2d-b54f-9f963c012e9c,55.44405,-127.4817,13.9414,5.14403,0.90538,-15.05784,-1.35653,5.91307,-9.13023,210.357801,1.7257,111.31094,-20.65073,4.68179,-1.22351,0.34464,-0.07784,0.01039,-0.00058,2.71794,57.73424,-16.78909,1.12291,0.01666,-0.10632,0.03666,-0.00532,0.00029,-0.48636,17.33482,2.53469,-0.58224,0.14617,-0.03827,0.00799,-0.00101,6.00E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,113.50822,19.45483928,-5.568254618
62,5/31/2025,38:21.6,1,1,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.00887,-2.853131,-0.525103,2281.473003,212.079597,1:00,5.79917,0.10132,5.46519,-17.18816,15.50595,9.095,1.69424,0.36777,85.53825,-6.058651,1.095202,0.411534,,,,,,,,,,,,-4.74563,8.88489,-0.06161,50,5.53645,0.82274,-134.97459,-7.32094,-8.80159,27.90538,-15.69558,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,aa5d3e10-3e3d-11f0-8e21-9f560cccee3c,91.59005,,,7.47061,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,38:21.5,2025-05-31T12:38:21.5528960-04:00,2025-05-31T16:38:21.5528960Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,642f3302-9264-49ff-b790-ba521e87f223,55.03319,-136.01121,13.95269,5.79757,-6.73789,-7.84779,-0.09825,1.14969,-4.4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
63,5/31/2025,38:31.1,1,2,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.43264,-2.542374,-1.23721,2756.781012,62.665305,8:00,5.75211,0.33604,5.05103,-40.26416,-1.05154,-4.17465,-0.00317,-1.17889,79.53615,-9.759125,-1.97704,0.450697,,,,,,,,,,,,1.78079,0.41236,-0.21473,50,5.4774,2.85815,-124.00186,-7.06393,2.7975,22.72237,-31.52627,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,b0010770-3e3d-11f0-8e21-9f560cccee3c,83.6315,,,5.89648,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,38:31.1,2025-05-31T12:38:31.1311360-04:00,2025-05-31T16:38:31.1311360Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,79d9b443-4c00-4cb3-9116-0ebac915e5bd,55.44928,-124.99641,11.36118,5.75638,-5.68404,-15.76314,-0.33715,2.7357,1.39875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
64,5/31/2025,38:45.5,1,3,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,86.44445,1.135139,-1.81156,1598.33938,257.432445,2:30,5.80416,0.7598,5.28635,-33.45246,4.99028,16.70383,4.08306,0.45011,78.58291,-5.012258,1.152165,0.44625,,,,,,,,,,,,-8.8626,2.54799,-0.60737,50,5.88336,3.21998,-125.36268,1.24522,-14.03206,26.54805,-28.13985,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,b8abcf40-3e3d-11f0-8e21-9f560cccee3c,84.4648,,,7.86154,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,38:45.5,2025-05-31T12:38:45.5081984-04:00,2025-05-31T16:38:45.5081984Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,0a3c318f-51af-4ade-ac71-cf02c3660b23,55.2109,-126.46138,13.27403,5.80773,2.4098,-14.06992,-0.75264,3.8007,-7.01603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
65,5/31/2025,38:59.4,1,4,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,2,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.50509,-2.045696,-1.003254,2315.6012,211.279737,1:00,5.77423,0.26503,5.30026,-15.09784,18.73958,10.64174,2.59449,0.2099,83.42926,-4.92322,0.885927,0.418668,,,,,,,,,,,,-5.61563,10.35989,-0.18183,50,5.57788,1.8344,-133.97516,-5.26278,-10.07459,32.44297,-13.58823,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,c0d1d6b0-3e3d-11f0-8e21-9f560cccee3c,90.02939,,,9.07583,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,38:59.4,2025-05-31T12:38:59.4210816-04:00,2025-05-31T16:38:59.4210816Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,0fd72fcf-74e9-405d-8118-cdf2be5a10fb,55.19408,-135.22709,16.22148,5.77085,-4.73843,-6.79411,-0.26011,2.22317,-5.03729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
66,5/31/2025,39:10.4,1,5,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,2,1,Slider,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,85.5192,-0.205175,-1.14732,2654.000754,106.359765,9:30,5.76901,0.59315,5.04131,-36.99053,2.38158,-3.97662,2.49288,-0.82065,78.53544,-6.918249,-1.8504,0.451612,87.77017,55.12741,41.241184,4550.087174,72.4898,136.22202,82.7359,199.28101,90.16262,52.661604,5.910093,1.67819,1.54906,-0.48032,50,5.71968,2.65936,-124.12994,-1.85676,2.62058,24.65116,-29.75512,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,c7777fb0-3e3d-11f0-8e21-9f560cccee3c,83.46192,137.83466,,6.98376,,,,2.86752,2.28577,0.62879,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,39:10.4,2025-05-31T12:39:10.3611392-04:00,2025-05-31T16:39:10.3611392Z,FlyBall,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,c11ab203-490a-4d5f-adc8-9ecf6adffc2a,55.45784,-125.20913,12.32558,5.77245,-0.55412,-14.87756,-0.59424,2.54463,1.31029,193.850079,2.87623,55.17143,-20.58393,5.84161,-0.88551,-0.01031,0.03074,-0.00481,0.00024,2.27431,105.79128,-25.38534,2.62012,-0.43231,0.03578,0.00799,-0.00238,0.00017,0.63672,48.3811,-10.28942,2.15108,-0.09481,-0.09,0.02642,-0.00304,0.00013,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,,,,
67,5/31/2025,39:38.4,1,6,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,2,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.75686,0.640793,-1.948704,1637.23286,259.605099,2:45,5.74374,0.70565,5.20615,-33.26025,3.7461,14.44646,3.57505,0.07619,80.68007,-5.428635,0.611192,0.437834,78.53198,54.308677,-63.159202,4038.723377,29.03996,109.29784,-106.09746,215.87193,84.91635,-80.092789,5.257061,-7.76914,2.00744,-0.53689,50,5.77782,3.69666,-127.43083,0.15554,-12.85073,24.7324,-28.85356,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,d8213ef0-3e3d-11f0-8e21-9f560cccee3c,86.08841,110.1616,,7.07679,,,,1.2593,4.13698,-0.31672,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,39:38.4,2025-05-31T12:39:38.3636480-04:00,2025-05-31T16:39:38.3636480Z,FlyBall,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,2cbf9d79-80c2-486a-9db8-bb4ab8097fa6,55.29365,-128.45414,12.3662,5.74669,1.34937,-14.42678,-0.70084,4.22836,-6.42536,,1.28347,29.82377,-12.3479,0.74565,2.22858,-1.29984,0.33457,-0.04153,0.00201,4.1224,93.79257,-25.62993,3.51148,-0.96396,0.17329,-0.00391,-0.00316,0.0003,-0.31586,-59.9473,8.09691,-1.23751,-0.19628,0.21283,-0.06342,0.00858,-0.00045,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,,,,
68,5/31/2025,39:54.8,1,7,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,2,1,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.15069,-0.748941,-1.898776,1699.336623,247.379959,2:15,5.64659,0.70603,5.27159,-29.841,7.85233,15.94875,2.45595,0.25094,79.7006,-6.227873,0.932126,0.441879,67.90856,-34.516157,69.607795,,,,,5.8217,4.98436,33.648288,0.046918,-8.60469,4.47441,-0.54505,50,5.55625,3.50111,-126.46722,-2.74633,-13.91158,26.20886,-24.94008,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,e1fe1e20-3e3d-11f0-8e21-9f560cccee3c,85.30031,2.65884,,7.45008,,,,3.49911,2.65884,-0.39823,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,39:54.8,2025-05-31T12:39:54.8055552-04:00,2025-05-31T16:39:54.8055552Z,GroundBall,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,ca3e5e13-8b25-4b06-9cd1-e9da2e322033,55.22771,-127.546,13.10443,5.64816,-1.71977,-12.47004,-0.70094,4.07372,-6.95579,180,3.49822,28.71349,,,,,,,,2.66059,-56.66944,,,,,,,,-0.40062,77.2404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,,,,
69,5/31/2025,40:22.9,1,8,"Horn, Tyner",10068252,Right,NEB,"Jones, Brendan",1000119807,Right,HOL_CRU,Undefined,3,Top,0,2,2,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,93.77101,-1.948405,-1.467206,2376.39933,196.752497,12:30,5.78089,0.05157,5.64818,-16.0428,15.96552,4.50555,2.62539,-0.94175,85.88376,-4.972701,-0.662355,0.407196,65.49768,-2.048731,33.577151,2385.590329,,,,34.21107,30.29676,32.535117,0.346038,-2.7037,8.95634,0.06984,50,5.60561,3.28519,-136.12886,-5.16247,-5.08374,29.31182,-15.33352,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,f2d66770-3e3d-11f0-8e21-9f560cccee3c,92.56595,2.61397,,7.88724,,,,2.37733,2.61397,0.75176,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,40:22.8,2025-05-31T12:40:22.8520448-04:00,2025-05-31T16:40:22.8520448Z,GroundBall,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,f701236f-b0f3-40b3-bb4c-ecff4c84e043,54.85018,-137.16925,14.65591,5.77919,-4.61823,-7.66676,-0.04996,3.46563,-2.54187,191.47069,2.3808,79.84935,-9.79574,,,,,,,2.61473,-3.46317,-11.83468,,,,,,,0.75377,53.01724,-5.86584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,,,,
70,5/31/2025,40:55.3,2,1,"Horn, Tyner",10068252,Right,NEB,"Brown, Colin",1000242461,Right,HOL_CRU,Undefined,3,Top,1,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,92.43294,-0.571585,-0.421629,2312.505244,204.681671,12:45,5.71418,0.18599,5.57352,-18.1117,14.81296,6.35048,3.67097,0.32137,84.75057,-3.968774,0.711567,0.412983,,,,,,,,,,,,-3.32004,7.94989,-0.15392,50,5.65324,0.69872,-134.28263,-1.95292,-6.08998,27.82547,-17.59153,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,05e4caa0-3e3e-11f0-8e21-9f560cccee3c,91.26881,,,7.68237,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,40:55.3,2025-05-31T12:40:55.2890368-04:00,2025-05-31T16:40:55.2890368Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,59d4acd5-b122-496a-9f04-90d286d90168,54.9235,-135.29901,13.91273,5.71283,-1.31036,-8.79576,-0.18351,0.92117,-3.04499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
71,5/31/2025,41:07.5,2,2,"Horn, Tyner",10068252,Right,NEB,"Brown, Colin",1000242461,Right,HOL_CRU,Undefined,3,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,92.6849,-2.211344,-1.821323,2386.898008,211.195646,1:00,5.71985,0.32667,5.79216,-17.75631,14.80835,8.35752,2.1811,-0.67164,85.04127,-5.547264,-0.324351,0.410719,,,,,,,,,,,,-4.7411,8.45182,-0.18179,50,5.52712,3.90606,-134.5324,-5.77601,-8.72264,28.1305,-16.62451,NEB,HOL_CRU,UNC,D1,BIG10,20250531-UNC-1,0d634770-3e3e-11f0-8e21-9f560cccee3c,91.77189,,,7.64362,,,,,,,2321f1cf-0d29-482f-b834-d8c85692f50f,5/31/2025,41:07.5,2025-05-31T12:41:07.5293184-04:00,2025-05-31T16:41:07.5293184Z,,v3,4865,471313,,"Helligso, Hogan",823087,Right,NEB,8387b1ce-409e-4c80-84ee-1f75ccdba774,54.70501,-135.51264,14.06525,5.7183,-5.19671,-8.31225,-0.3232,4.21001,-4.36132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,,,
