Unnamed: 0,Angle,AutoHitType,AutoPitchType,AwayTeam,AwayTeamForeignID,Balls,BasePositionX,BasePositionY,BasePositionZ,Batter,BatterId,BatterSide,BatterTeam,Bearing,CatchPositionX,CatchPositionY,CatchPositionZ,Catcher,CatcherId,CatcherTeam,CatcherThrowCatchConfidence,CatcherThrowLocationConfidence,CatcherThrowReleaseConfidence,CatcherThrows,ContactPositionX,ContactPositionY,ContactPositionZ,Date,Direction,Distance,EffectiveVelo,ExchangeTime,ExitSpeed,Extension,GameForeignID,GameID,GameUID,HangTime,HitLandingConfidence,HitLaunchConfidence,HitSpinAxis,HitSpinRate,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,HomeTeam,HomeTeamForeignID,HorzApprAngle,HorzBreak,HorzRelAngle,InducedVertBreak,Inning,KorBB,LastTrackedDistance,League,Level,LocalDateTime,MaxHeight,MeasuredDuration,Notes,Outs,OutsOnPlay,PAofInning,PitchCall,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,PitchLocationConfidence,PitchMovementConfidence,PitchNo,PitchReleaseConfidence,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,PitchUID,Pitcher,PitcherId,PitcherSet,PitcherTeam,PitcherThrows,PitchofPA,PlateLocHeight,PlateLocSide,PlayID,PlayResult,PopTime,PositionAt110X,PositionAt110Y,PositionAt110Z,RelHeight,RelSide,RelSpeed,RunsScored,SpeedDrop,SpinAxis,SpinRate,Stadium,Strikes,System,TaggedHitType,TaggedPitchType,ThrowPositionX,ThrowPositionY,ThrowPositionZ,ThrowSpeed,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,Tilt,Time,TimeToBase,Top/Bottom,UTCDate,UTCDateTime,UTCTime,VertApprAngle,VertBreak,VertRelAngle,ZoneSpeed,ZoneTime,ax0,ay0,az0,pfxx,pfxz,vx0,vy0,vz0,x0,y0,z0
"Newhan, Nico",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Sinker,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,,,,,"Peterson, Elliott",830325.0,NEB,,,,Right,,,,2025-09-03,,,90.43998,,,5.58136,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865.0,-2.072301,-18.42387,1.215133,15.23383,2.0,Undefined,,Team,TeamExclusive,2025-09-03T16:59:51.5432960-05:00,,,,0.0,0.0,1.0,BallCalled,,,,High,High,28.0,High,54.91951,-134.45125,14.59271,6.21166,-1.35812,-8.72462,1.8138,-2.61724,8.64429,51ab5e40-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539.0,Undefined,NEB,Left,1.0,4.12973,-2.22203,43f3d084-d4be-420c-9072-a79d9b2a695c,Undefined,,,,,6.21324,-1.82176,91.86981,0.0,8.11301,127.540925,2516.279992,UNebraska,0.0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:15,16:59:51.54,,Bottom,2025-09-03,2025-09-03T21:59:51.5432960Z,21:59:51.54,-4.042678,-18.29702,-0.598118,83.7568,0.416767,17.28858,29.18542,-17.44923,9.61504,8.18922,-1.98212,-133.37909,-1.99914,1.72932,50.0,6.14999
,,,Four-Seam,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,,,,,"Peterson, Elliott",830325.0,NEB,,,,Right,,,,2025-09-03,,,90.02247,,,5.76426,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865.0,0.580791,-10.69682,2.493543,19.75966,2.0,Undefined,,Team,TeamExclusive,2025-09-03T17:00:05.9663360-05:00,,,,0.0,0.0,1.0,BallCalled,,,,High,High,29.0,High,54.73381,-133.72341,15.25877,6.19914,-2.30469,-6.65907,1.79519,-5.67337,5.42522,5a1636e0-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539.0,Undefined,NEB,Left,2.0,4.06602,-0.3698,61bd775c-f64c-4ee9-9b21-4ace05af33ea,Undefined,,,,,6.20307,-1.80074,91.50253,0.0,8.72062,150.08395,2571.805955,UNebraska,0.0,v3,Undefined,Fastball,,,,,,,,,,,,,,11:00,17:00:05.96,,Bottom,2025-09-03,2025-09-03T22:00:05.9663360Z,22:00:05.96,-3.753797,-14.08292,-1.034055,82.78191,0.4187,10.85045,30.51755,-13.31815,6.14048,10.67091,-5.2877,-132.63869,-2.77807,1.60039,50.0,6.10881
,,,Four-Seam,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,,,,,"Peterson, Elliott",830325.0,NEB,,,,Right,,,,2025-09-03,,,88.98924,,,5.62174,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865.0,0.100063,-14.37694,2.664961,19.0541,2.0,Undefined,,Team,TeamExclusive,2025-09-03T17:00:21.7719296-05:00,,,,0.0,0.0,1.0,BallCalled,,,,High,High,30.0,High,54.87997,-131.78977,13.16183,6.25344,-8.05733,-6.58144,1.77858,-5.97011,6.94722,638252e0-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539.0,Undefined,NEB,Left,3.0,1.65861,-0.49361,bf0ec1ae-2658-4b4e-8bc6-99126c03b0b4,Undefined,,,,,6.25638,-1.78438,90.28077,0.0,7.3837,141.330872,2520.042578,UNebraska,0.0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:45,17:00:21.77,,Bottom,2025-09-03,2025-09-03T22:00:21.7719296Z,22:00:21.77,-6.467522,-15.57895,-3.527256,82.89707,0.423562,13.89444,26.32365,-13.16287,7.97957,10.91812,-5.45371,-130.81142,-8.54654,1.56629,50.0,5.94489
,,,Sinker,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,,,,,"Peterson, Elliott",830325.0,NEB,,,,Right,,,,2025-09-03,,,90.39632,,,5.5695,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865.0,-2.001883,-18.78702,1.349731,15.70056,2.0,Undefined,,Team,TeamExclusive,2025-09-03T17:00:38.0758016-05:00,,,,0.0,0.0,1.0,BallCalled,,,,High,High,31.0,High,54.93011,-134.93181,15.83238,6.12623,-2.4162,-8.38799,1.78124,-2.92392,8.83218,6d382210-8911-11f0-a84e-8d3a62d886e2,"Cleavinger, Grant",813539.0,Undefined,NEB,Left,4.0,3.65966,-2.09434,298afe3f-8840-4c4c-81fd-d3b83ecde043,Undefined,,,,,6.12816,-1.78985,92.24053,0.0,8.80314,127.723268,2548.01026,UNebraska,0.0,v3,Undefined,Fastball,,,,,,,,,,,,,,10:15,17:00:38.07,,Bottom,2025-09-03,2025-09-03T22:00:38.0758016Z,22:00:38.07,-4.428935,-17.86273,-1.048608,83.43739,0.416969,17.66435,31.66476,-16.77598,9.8513,8.58741,-2.27572,-133.76984,-3.03181,1.68584,50.0,6.02627
,,,Four-Seam,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,,,,,"Peterson, Elliott",830325.0,NEB,,,,Right,,,,2025-09-03,,,87.16088,,,6.54516,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEB,4865.0,0.713431,9.18981,-0.955984,17.96733,3.0,Undefined,,Team,TeamExclusive,2025-09-03T17:28:39.5260928-05:00,,,,0.0,0.0,6.0,BallCalled,,,,High,High,81.0,High,53.95204,-127.71363,14.41537,6.11658,0.71519,-8.31339,-1.19088,2.00301,-4.06702,57730680-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965.0,Undefined,NEB,Right,1.0,4.87078,1.08454,68add7d9-7992-4ef7-8f5a-917b02c76cb3,Undefined,,,,,6.11916,1.19556,87.32569,0.0,8.48,208.803019,2261.419908,UNebraska,0.0,v3,Undefined,Fastball,,,,,,,,,,,,,,1:00,17:28:39.52,,Bottom,2025-09-03,2025-09-03T22:28:39.5260928Z,22:28:39.52,-3.230144,-18.13395,0.286475,78.84569,0.432447,-8.13405,28.83073,-16.62677,-5.05508,9.66221,1.75042,-126.81834,0.19887,-1.1326,50.0,6.13077
,55.203779,FlyBall,Four-Seam,NEB,4865.0,1.0,,,,"Newhan, Nico",814552.0,Right,NEB,14.719205,,,,"Peterson, Elliott",830325.0,NEB,,,,Right,2.19457,2.85515,0.3316,2025-09-03,-4.116489,254.82229,87.52175,,95.41093,6.79082,,20250903-UNebraska-Private-2,ae614e11-b1b9-4508-b311-468f30c2a3a8,6.256946,Low,High,208.797011,4447.716533,2.19703,79.56084,-19.79317,4.5604,-0.39491,-0.12312,0.04484,-0.00552,0.00024,2.83253,115.25324,-28.35085,4.34359,-1.26296,0.28751,-0.03755,0.00221,-3e-05,0.32796,-5.62401,10.83025,-2.92835,0.10817,0.18236,-0.0559,0.00678,-0.0003,NEB,4865.0,-1.141972,8.0104,-2.603077,14.67977,3.0,Undefined,110.92693,Team,TeamExclusive,2025-09-03T17:29:15.9578112-05:00,155.5726,,,0.0,0.0,6.0,InPlay,,,,High,High,82.0,High,53.70906,-127.77373,14.79936,6.06229,-4.7207,-8.9889,-1.43469,5.71349,-4.08331,6d264af0-8915-11f0-a84e-8d3a62d886e2,"Sebastian, Blake",10129965.0,Undefined,NEB,Right,2.0,2.36104,-0.27213,29694b29-5db3-45e3-bfff-11a4f8710c6e,Out,,109.19148,140.43415,13.31043,6.06336,1.43817,87.46953,0.0,8.3754,210.882131,2196.828375,UNebraska,0.0,v3,FlyBall,Fastball,,,,,,,,,,,,,,1:00,17:29:15.95,,Bottom,2025-09-03,2025-09-03T22:29:15.9578112Z,22:29:15.95,-6.181909,-21.12438,-2.124216,79.09413,0.430664,-8.16661,29.59873,-17.97781,-5.08331,8.83642,5.47562,-126.91162,-5.24433,-1.27174,50.0,5.91716
,28.277953,FlyBall,Four-Seam,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,37.192836,,,,"Miller, Miken",1000072776.0,NEB,,,,Right,0.84357,1.78781,0.37568,2025-09-04,24.922047,293.76001,90.45224,,90.10426,5.93674,,20250904-UNebraska-Private-3,64a9a57b-5622-4e38-8489-f1580babfa19,4.147749,Medium,High,223.151232,4570.687913,0.84271,105.5699,-25.48147,6.94027,-1.90524,0.53234,-0.12662,0.01869,-0.00115,1.78896,62.57573,-18.3355,0.41271,0.48801,-0.28158,0.08176,-0.0117,0.00065,0.37545,49.04914,0.00473,-1.38652,0.51335,-0.10042,0.0078,0.00073,-0.00013,NEB,4865.0,-0.062543,-7.74221,1.328821,14.74091,2.0,Undefined,286.89113,Team,TeamExclusive,2025-09-04T17:13:24.3500032-05:00,59.63948,,,0.0,1.0,2.0,InPlay,,,,High,High,56.0,High,54.56596,-133.07665,13.31634,6.38229,-7.57661,-8.30729,0.93993,-3.00916,3.86644,60526b70-89dc-11f0-81c6-51351d1fede5,"Stewart, Braxton",822523.0,Undefined,NEB,Left,1.0,1.78126,-0.35464,3d2390f0-3cb1-44a4-b0bf-57e58a9279d5,Out,,95.47903,50.18135,54.62367,6.38348,-0.94248,91.05224,0.0,7.15481,150.575046,2078.89134,UNebraska,0.0,v3,LineDrive,Fastball,,,,,,,,,,,,,,11:00,17:13:24.35,,Bottom,2025-09-04,2025-09-04T22:13:24.3500032Z,22:13:24.35,-6.784015,-18.78088,-3.269257,83.89743,0.416711,7.73287,26.63267,-16.61458,4.34697,8.74662,-2.74292,-132.1597,-8.14864,0.84091,50.0,6.11158
,6.909504,LineDrive,Four-Seam,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,-28.31691,,,,"Peterson, Elliott",830325.0,NEB,,,,Right,1.89286,2.70832,0.12107,2025-09-05,-23.674161,156.69449,87.78374,,106.42285,5.85893,,20250905-UNebraska-Private-1,4fb6d09f-56e7-430b-b4ad-8372cf8d0382,1.166448,High,High,86.070684,1523.525923,1.89286,141.91274,-25.95054,4.61744,-1.00282,0.2041,-0.04235,0.00769,-0.0008,2.70832,18.77745,-20.52081,2.62831,-0.60355,0.14944,-0.03315,0.00632,-0.0007,0.12107,-62.21902,-3.1553,2.09978,-0.66207,0.18825,-0.0468,0.00945,-0.00106,NEB,4865.0,0.001614,-8.51477,1.528979,15.4128,2.0,Undefined,151.2593,Team,TeamExclusive,2025-09-05T17:04:04.4079104-05:00,7.25721,,,0.0,0.0,1.0,InPlay,,,,High,High,26.0,High,54.64023,-130.79127,15.98769,5.94588,-4.03417,-8.69253,0.85123,-3.38634,4.07047,3cfae2b0-8aa4-11f0-b24e-39676dc8d56a,"Worthley, Jalen",805000.0,Undefined,NEB,Left,1.0,2.60951,-0.14343,03b0898b-7abc-489a-9878-353e8b18f9f9,Single,,98.3201,5.96024,-49.3268,5.94727,-0.85479,89.47055,0.0,9.04772,148.837036,1864.724816,UNebraska,0.0,v3,LineDrive,Fastball,,,,,,,,,,,,,,11:00,17:04:04.40,,Top,2025-09-05,2025-09-05T22:04:04.4079104Z,22:04:04.40,-5.614607,-20.17796,-1.781439,80.42283,0.429378,8.14094,31.97538,-17.38507,4.87666,8.85902,-3.09625,-129.65188,-4.65366,0.73573,50.0,5.79109
,11.130481,LineDrive,Sinker,NEB,4865.0,0.0,,,,"Newhan, Nico",814552.0,Right,NEB,-4.072156,,,,"Fikes, Trey",10277361.0,NEB,,,,Right,0.98797,2.61845,0.26645,2025-09-08,-5.240109,287.66231,88.01139,,106.71913,5.57649,,20250908-UNebraska-Private-1,8d86614b-ade0-40e3-9280-af3432578578,2.585054,High,High,184.047685,824.042701,0.98797,152.93496,-26.64316,6.29004,-1.40241,0.29884,-0.05561,0.00733,-0.00047,2.61844,30.21535,-11.8186,-0.52625,0.32251,-0.10566,0.02507,-0.00371,0.00026,0.26645,-14.0261,3.11464,-0.34069,-0.00526,0.01529,-0.00466,0.00081,-6e-05,NEB,4865.0,2.627432,-11.95627,4.750456,4.61126,6.0,Undefined,276.21213,Team,TeamExclusive,2025-09-08T17:16:24.4651520-05:00,21.43066,,,3.0,0.0,4.0,InPlay,,,,High,High,177.0,High,54.92665,-130.46473,12.92161,5.07451,0.18541,-13.86107,3.70782,-10.71755,6.25889,75e8cc40-8d01-11f0-a6e0-75560cc6e930,"Clark, Caleb",683308.0,Undefined,NEB,Left,1.0,2.61419,-0.26137,daace0b0-0c69-44b2-a14a-9b8cea16c5f9,Out,,109.61606,19.11428,-9.18212,5.07195,-3.71229,89.39202,0.0,7.39212,106.461551,2083.191442,UNebraska,0.0,v3,LineDrive,Fastball,,,,,,,,,,,,,,9:30,17:16:24.46,,Top,2025-09-08,2025-09-08T22:16:24.4651520Z,22:16:24.46,-5.539795,-30.79565,0.115818,81.9999,0.428268,12.51779,25.84322,-27.72214,7.33847,2.60988,-10.24306,-129.48516,-0.86538,3.31056,50.0,5.06162
